Variable,N,Mean,Std Dev,Min,Max
ANC 4+ Visits,5186,0.405,0.491,0.0,1.0
Facility Delivery,5469,0.637,0.481,0.0,1.0
Doctor-Attended ANC,5187,0.833,0.373,0.0,1.0
Iron Supplementation,5185,0.79,0.407,0.0,1.0
1st ANC in 1st Trimester,4758,0.422,0.494,0.0,1.0
Education: Primary,6315,0.233,0.423,0.0,1.0
Education: Secondary,6315,0.52,0.5,0.0,1.0
Education: Higher,6315,0.192,0.394,0.0,1.0
"Wealth Quintile (1=poorest, 5=richest)",6315,2.972,1.42,1.0,5.0
Rural Residence,6315,0.662,0.473,0.0,1.0
Mother's Age (years),6315,25.984,5.823,15.0,49.0
Parity: 2nd birth,6315,0.097,0.296,0.0,1.0
Parity: 3rd+ birth,6315,0.005,0.072,0.0,1.0
