Variable,ANC 4+ Visits,ANC 4+ Visits (SE),Facility Delivery,Facility Delivery (SE),Doctor-Attended ANC,Doctor-Attended ANC (SE),Iron Supplementation,Iron Supplementation (SE),1st ANC in 1st Trimester,1st ANC in 1st Trimester (SE)
Primary (ref: no edu),0.0740**,(0.0333),0.0313,(0.0273),0.0671***,(0.0200),0.0774***,(0.0233),0.0148,(0.0369)
Secondary (ref: no edu),0.1720***,(0.0325),0.1283***,(0.0268),0.1238***,(0.0199),0.1525***,(0.0232),0.0989***,(0.0360)
Higher (ref: no edu),0.3006***,(0.0353),0.2906***,(0.0313),0.1997***,(0.0249),0.2421***,(0.0276),0.2275***,(0.0388)
Poor Q2 (ref: poorest),0.0534**,(0.0208),0.0799***,(0.0176),0.0517***,(0.0137),0.0317**,(0.0161),0.0159,(0.0226)
Middle Q3,0.0962***,(0.0212),0.1394***,(0.0185),0.0922***,(0.0149),0.0628***,(0.0171),0.0387*,(0.0229)
Rich Q4,0.1730***,(0.0217),0.2210***,(0.0197),0.1405***,(0.0165),0.0971***,(0.0182),0.1111***,(0.0233)
Richest Q5,0.2767***,(0.0240),0.3202***,(0.0232),0.2155***,(0.0209),0.1257***,(0.0211),0.2414***,(0.0256)
Rural (ref: urban),-0.0495,(638345.9966),-0.0266,(nan),0.0000,(nan),-0.0122,(999881.8266),-0.0323,(nan)
Mother Age (standardised),-0.0495,(638345.9966),-0.0266,(nan),0.0000,(nan),-0.0122,(999881.8266),-0.0323,(nan)
Parity: 2nd,0.0189***,(0.0067),-0.0169***,(0.0063),-0.0034,(0.0052),-0.0129**,(0.0057),0.0301***,(0.0072)
Parity: 3rd+,-0.0870**,(0.0430),-0.0383*,(0.0224),-0.0404,(0.0294),-0.0579*,(0.0333),-0.0498,(0.0463)
Division: Chattogram,-0.0526,(0.1789),-0.1618*,(0.0897),-0.0503,(0.1135),0.1073,(0.1616),-0.2564,(0.2240)
Division: Dhaka,0.0417*,(0.0251),-0.0100,(0.0227),-0.0243,(0.0195),0.0537**,(0.0216),-0.0166,(0.0265)
Division: Khulna,0.0588**,(0.0261),0.0321,(0.0241),-0.0155,(0.0208),0.0169,(0.0225),0.0617**,(0.0274)
Division: Mymensingh,0.0623**,(0.0273),0.1961***,(0.0272),0.0247,(0.0228),-0.0294,(0.0231),-0.0153,(0.0287)
Division: Rajshahi,0.1799***,(0.0268),0.0022,(0.0242),-0.0037,(0.0205),0.0199,(0.0225),0.0348,(0.0284)
Division: Rangpur,0.0413,(0.0282),0.0885***,(0.0265),-0.0142,(0.0223),0.0111,(0.0241),0.0043,(0.0295)
Division: Sylhet,0.0777***,(0.0270),0.0586**,(0.0246),-0.0727***,(0.0200),0.0488**,(0.0231),-0.0249,(0.0288)
N,"5,186",,"5,469",,"5,187",,"5,185",,"4,758",
McFadden R2,0.1084,,0.1419,,0.1010,,0.0669,,0.0851,
