Variable,Probit AME,Probit SE,LPM Coef.,LPM SE
Primary (ref: no edu),0.0740**,(0.0333),0.0640**,(0.0276)
Secondary (ref: no edu),0.1720***,(0.0325),0.1615***,(0.0275)
Higher (ref: no edu),0.3006***,(0.0353),0.3012***,(0.0313)
Poor Q2 (ref: poorest),0.0534**,(0.0208),0.0462**,(0.0190)
Middle Q3,0.0962***,(0.0212),0.0887***,(0.0205)
Rich Q4,0.1730***,(0.0217),0.1756***,(0.0217)
Richest Q5,0.2767***,(0.0240),0.2889***,(0.0242)
Rural (ref: urban),-0.0495,(638345.9966),-0.0513***,(0.0076)
Mother Age (standardised),-0.0495,(638345.9966),-0.0513***,(0.0076)
Parity: 2nd,0.0189***,(0.0067),0.0187***,(0.0068)
Parity: 3rd+,-0.0870**,(0.0430),-0.0768**,(0.0385)
Division: Chattogram,-0.0526,(0.1789),-0.0497,(0.1627)
Division: Dhaka,0.0417*,(0.0251),0.0402*,(0.0244)
Division: Khulna,0.0588**,(0.0261),0.0562**,(0.0256)
Division: Mymensingh,0.0623**,(0.0273),0.0610**,(0.0271)
Division: Rajshahi,0.1799***,(0.0268),0.1784***,(0.0262)
Division: Rangpur,0.0413,(0.0282),0.0391,(0.0276)
Division: Sylhet,0.0777***,(0.0270),0.0745***,(0.0266)
N,"5,186",,"5,186",
R2 / Pseudo R2,0.1084,,0.1400,
